Loja;Nome Loja;Regional;GGL;2024;POS;PDV;PDV OB;RET;RET OB
575;Sh Ituiutaba;CO II;GGL 2;12.871.640;366;3;0;5;0
384;SH Cantareira Norte;SP I;GGL 2;12.852.465;367;6;4;8;0
235;LJ Centro de Manaus;NO;GGL 3;12.727.555;368;6;1;8;0
416;SH Camara Shopping Center;NE II;GGL 3;12.648.761;369;6;0;8;0
463;SH Rio Tapajos;NO;GGL 3;12.599.908;370;4;0;7;0
567;Sh Terrazo;NE III;GGL 3;12.561.467;371;4;0;7;0
266;SH Cidade Sorocaba;SP II;GGL 2;12.427.838;372;5;1;9;2
533;Lj de Campo Mourao;PR;GGL 1;12.311.531;373;5;0;5;0
478;SH Cidade Paranavai Shopping;PR;GGL 1;12.279.878;374;3;0;5;0
500;SH Boa Vista SP;SP III;GGL 2;12.207.207;375;6;0;9;0
547;LJ de Alfenas;SP V;GGL 2;12.201.039;376;3;0;5;0
444;SH Via Sul;NE III;GGL 3;12.093.035;377;4;0;7;0
524;LJ de Esteio;RS II;GGL 1;12.047.853;378;6;0;6;0
541;Lj de Alegrete;RS III;GGL 1;11.977.637;379;4;0;5;0
388;SH Center Rio;RJ I;GGL 3;11.811.469;380;6;0;6;0
396;SH Itaqua Garden;SP I;GGL 2;11.745.297;381;4;0;7;0
553;LJ de Taquara;RS II;GGL 1;11.383.942;382;2;0;8;0
431;SH Patio Mix Linhares;NE I;GGL 3;11.290.123;383;3;0;6;0
369;SH Eco Valle;SP VI;GGL 1;11.235.884;384;5;2;8;0
428;SH Galleria;SP IV;GGL 1;11.016.837;385;5;3;6;0
409;SH Boulevard Camacari;NE I;GGL 3;10.863.763;386;7;3;10;0
503;LJ Cachoeira do Sul;RS III;GGL 1;10.837.137;387;4;0;5;0
548;SH Bourbon Teresopolis;RS I;GGL 1;10.737.431;388;3;0;5;0
535;Sh Londrina Norte;PR;GGL 1;10.718.730;389;3;0;6;0
551;LJ de Sao Vicente;SP VI;GGL 1;10.704.913;390;4;0;6;0
568;Sh Muriae;RJ II;GGL 3;10.678.948;391;3;0;7;0
289;SH Itaborai;RJ II;GGL 3;10.677.331;392;5;1;9;0
525;LJ Carazinho;RS III;GGL 1;10.672.351;393;3;0;6;0
517;LJ Sao Bento do Sul;SC;GGL 1;10.571.307;394;5;0;5;0
334;SH Cerrado;CO II;GGL 2;10.537.215;395;7;3;9;0
482;Sh Parque Barbacena Shopping;RJ II;GGL 3;10.214.903;396;5;0;8;0
559;SH Patiomix Teixeira de Freitas;NE I;GGL 3;10.191.102;397;3;0;5;0
393;Sh Umuarama;PR;GGL 1;9.336.824;398;4;0;6;0
501;SH D;SP I;GGL 2;9.125.327;399;5;0;9;0
512;LJ de Farroupilha;RS II;GGL 1;9.004.209;400;4;0;5;0
569;Sh Araranguá;SC;GGL 1;8.898.161;401;4;0;0;0
505;Sh Aeroporto Salgado Filho;RS I;GGL 1;8.866.993;402;0;0;3;0
571;Sh Penapolis Garden;SP VII;GGL 2;8.470.330;403;2;0;4;0
566;SH Plaza Rio das Ostras;RJ II;GGL 3;8.397.169;404;3;0;0;0
555;SH Park Mogi Mirim;SP V;GGL 2;6.848.132;405;2;0;6;0
587;Lj Campos do Jordão;SP VI;GGL 1;6.451.505;406;0;0;0;0
558;SH Lago Center Araguaína;CO I;GGL 2;4.873.579;407;0;0;0;0
593;SH Luziânia;CO I;GGL 2;4.789.481;408;0;0;0;0
702;Ashua Sh Analia Franco;ASHUA;ASHUA;4.591.048;409;1;0;0;0
707;Ashua SH Iguatemi Poa;ASHUA;ASHUA;3.875.905;410;2;0;0;0
712;Ashua Sh Ibirapuera;ASHUA;ASHUA;3.607.114;411;1;0;0;0
319;SH Manaus Via Norte;NO;GGL 3;3.590.721;412;4;2;8;0
550;Lj Toledo;PR;GGL 1;3.519.767;413;0;0;0;0
720;Ashua Sh Palladium Curitiba;ASHUA;ASHUA;3.460.306;414;1;0;0;0
709;Ashua Sh Abc;ASHUA;ASHUA;3.056.050;415;1;0;0;0
717;Ashua Sh Dom Pedro;ASHUA;ASHUA;3.040.403;416;1;0;0;0
556;SH PARK LAGOS;RJ II;GGL 3;3.034.769;417;0;0;0;0
722;Sh Praiamar;ASHUA;ASHUA;3.023.537;418;1;0;0;0
706;Ashua SH Barra Rio;ASHUA;ASHUA;2.777.002;419;1;0;0;0
570;Sh Três Américas;CO I;GGL 2;2.752.174;420;0;0;0;0
714;Ashua SH Riomar Recife;ASHUA;ASHUA;2.648.904;421;1;0;0;0
719;Ashua Iguatemi Esplanada;ASHUA;ASHUA;2.607.780;422;1;0;0;0
715;Ashua SH Boulevard Bh;ASHUA;ASHUA;2.538.553;423;1;0;0;0
591;Lj Santana do Livramento;RS III;GGL 1;2.510.482;424;0;0;0;0
580;SH Catuai Cascavel;PR;GGL 1;2.492.576;425;0;0;0;0
705;Ashua Sh SP Market;ASHUA;ASHUA;2.458.332;426;1;0;0;0
578;Lj Conselheiro Lafaiete;MG;GGL 2;2.456.889;427;0;0;0;0
721;Ashua Sh Plaza Niteroi;ASHUA;ASHUA;2.382.589;428;1;0;0;0
701;Ashua Sh Praia de Belas;ASHUA;ASHUA;2.367.750;429;1;0;0;0
723;Sh Vitória;ASHUA;ASHUA;2.295.257;430;1;0;0;0
704;Ashua Sh Iguatemi Caxias;ASHUA;ASHUA;2.192.703;431;1;0;0;0
703;Ashua Sh Metro Tucuruvi;ASHUA;ASHUA;2.138.305;432;1;0;0;0
588;SH Colombo Park;PR;GGL 1;2.045.930;433;0;0;0;0
716;Ashua SH Salvador;ASHUA;ASHUA;2.022.539;434;1;0;0;0
724;SH Villa Romana;ASHUA;ASHUA;1.807.856;435;0;0;0;0
32;SH Central Plaza;SP I;GGL 2;1.505.863;436;0;0;6;0
421;LJ Centro de Teresina;NE III;GGL 3;1.384.908;437;0;0;0;0
341;SH Roraima Garden;NO;GGL 3;1.267.759;438;0;0;0;0
507;SH Norte Natal;NE II;GGL 3;1.051.295;439;0;0;0;0
368;Lj Rua Padre Chagas;RS I;GGL 1;659.471;440;0;0;0;0
71;LJ BH centro;MG;GGL 2;0;441;0;0;0;0
192;Lj Andradas;RS I;GGL 1;0;442;0;0;0;0
232;SH GOIABEIRAS;CO II;GGL 2;0;443;0;0;0;0
238;LJ Centro de Vitoria;NE I;GGL 3;0;444;0;0;0;0
242;SH Amapa Garden;NO;GGL 3;0;445;0;0;0;0
264;SH Bosque dos Ipes;CO I;GGL 2;0;446;0;0;0;0
272;LJ Barao do Rio Branco;NE III;GGL 3;0;447;0;0;0;0
343;SH Plaza Carapicuiba;SP II;GGL 2;0;448;0;0;0;0
364;SH Anchieta Garden;MG;GGL 2;0;449;0;0;0;0
435;SH Atrium Santo Andre;SP III;GGL 2;0;450;0;0;0;0
446;SH Aracaju Parque Shopping;NE II;GGL 3;0;451;0;0;0;0
508;LJ Rio do Sul;SC;GGL 1;0;452;0;0;0;0
518;Lj Quitanda;RJ II;GGL 3;0;453;0;0;0;0
530;Sh Garibaldi;RS II;GGL 1;0;454;0;0;0;0
582;Lj de Sapiranga;RS II;GGL 1;0;455;0;0;0;0
